,resistance,voltage,current,time,pre_rect,post_rect,labels
0,6,250,DC,0.0,-2.198486328125,5.272216796875,NP
1,6,250,DC,0.01,-2.19970703125,5.2734375,NP
2,6,250,DC,0.02,-2.2021484375,5.272216796875,NP
3,6,250,DC,0.03,-2.20703125,5.2734375,NP
4,6,250,DC,0.04,-2.208251953125,5.2734375,NP
5,6,250,DC,0.05,-2.208251953125,5.2734375,NP
6,6,250,DC,0.06,-2.20458984375,5.2734375,NP
7,6,250,DC,0.07,-2.2021484375,5.2734375,NP
8,6,250,DC,0.08,-2.198486328125,5.272216796875,NP
9,6,250,DC,0.09,-2.200927734375,5.272216796875,NP
10,6,250,DC,0.1,-2.198486328125,5.27099609375,NP
11,6,250,DC,0.11,-2.19970703125,5.272216796875,NP
12,6,250,DC,0.12,-2.2021484375,5.272216796875,NP
13,6,250,DC,0.13,-2.205810546875,5.272216796875,NP
14,6,250,DC,0.14,-2.20947265625,5.272216796875,NP
15,6,250,DC,0.15,-2.20703125,5.2734375,NP
16,6,250,DC,0.16,-2.2021484375,5.2734375,NP
17,6,250,DC,0.17,-2.2021484375,5.27099609375,NP
18,6,250,DC,0.18,-2.196044921875,5.272216796875,NP
19,6,250,DC,0.19,-2.197265625,5.272216796875,NP
20,6,250,DC,0.2,-2.198486328125,5.272216796875,NP
21,6,250,DC,0.21,-2.200927734375,5.2734375,NP
22,6,250,DC,0.22,-2.205810546875,5.2734375,NP
23,6,250,DC,0.23,-2.205810546875,5.2734375,NP
24,6,250,DC,0.24,-2.20703125,5.272216796875,NP
25,6,250,DC,0.25,-2.205810546875,5.272216796875,NP
26,6,250,DC,0.26,-2.2021484375,5.272216796875,NP
27,6,250,DC,0.27,-2.19970703125,5.2734375,NP
28,6,250,DC,0.28,-2.198486328125,5.272216796875,NP
29,6,250,DC,0.29,-2.198486328125,5.2734375,NP
30,6,250,DC,0.3,-2.200927734375,5.2734375,NP
31,6,250,DC,0.31,-2.2021484375,5.2734375,NP
32,6,250,DC,0.32,-2.208251953125,5.2734375,NP
33,6,250,DC,0.33,-2.205810546875,5.272216796875,NP
34,6,250,DC,0.34,-2.20458984375,5.272216796875,NP
35,6,250,DC,0.35000000000000003,-2.203369140625,5.272216796875,NP
36,6,250,DC,0.36,-2.19970703125,5.272216796875,NP
37,6,250,DC,0.37,-2.198486328125,5.2734375,NP
38,6,250,DC,0.38,-2.19970703125,5.2734375,NP
39,6,250,DC,0.39,-2.197265625,5.2734375,NP
40,6,250,DC,0.4,-2.203369140625,5.272216796875,NP
41,6,250,DC,0.41000000000000003,-2.205810546875,5.272216796875,NP
42,6,250,DC,0.42,-2.208251953125,5.272216796875,NP
43,6,250,DC,0.43,-2.205810546875,5.27099609375,NP
44,6,250,DC,0.44,-2.20458984375,5.2734375,NP
45,6,250,DC,0.45,-2.2021484375,5.2734375,NP
46,6,250,DC,0.46,-2.198486328125,5.272216796875,NP
47,6,250,DC,0.47000000000000003,-2.19970703125,5.272216796875,NP
48,6,250,DC,0.48,-2.19970703125,5.272216796875,NP
49,6,250,DC,0.49,-2.19970703125,5.27099609375,NP
50,6,250,DC,0.5,-2.203369140625,5.27099609375,NP
51,6,250,DC,0.51,-2.208251953125,5.272216796875,NP
52,6,250,DC,0.52,-2.205810546875,5.2734375,NP
53,6,250,DC,0.53,-2.205810546875,5.272216796875,NP
54,6,250,DC,0.54,-2.2021484375,5.272216796875,NP
55,6,250,DC,0.55,-2.19970703125,5.272216796875,NP
56,6,250,DC,0.56,-2.19970703125,5.272216796875,NP
57,6,250,DC,0.5700000000000001,-2.198486328125,5.272216796875,NP
58,6,250,DC,0.58,-2.196044921875,5.272216796875,NP
59,6,250,DC,0.59,-2.2021484375,5.27099609375,NP
60,6,250,DC,0.6,-2.205810546875,5.272216796875,NP
61,6,250,DC,0.61,-2.20703125,5.272216796875,NP
62,6,250,DC,0.62,-2.20458984375,5.2734375,NP
63,6,250,DC,0.63,-2.203369140625,5.272216796875,NP
64,6,250,DC,0.64,-2.200927734375,5.2734375,NP
65,6,250,DC,0.65,-2.198486328125,5.272216796875,NP
66,6,250,DC,0.66,-2.197265625,5.2734375,NP
67,6,250,DC,0.67,-2.200927734375,5.2734375,NP
68,6,250,DC,0.68,-2.2021484375,5.272216796875,NP
69,6,250,DC,0.6900000000000001,-2.20458984375,5.272216796875,NP
70,6,250,DC,0.7000000000000001,-2.20458984375,5.2734375,NP
71,6,250,DC,0.71,-2.20703125,5.272216796875,NP
72,6,250,DC,0.72,-2.205810546875,5.272216796875,NP
73,6,250,DC,0.73,-2.203369140625,5.2734375,NP
74,6,250,DC,0.74,-2.19970703125,5.27099609375,NP
75,6,250,DC,0.75,-2.198486328125,5.272216796875,NP
76,6,250,DC,0.76,-2.197265625,5.272216796875,NP
77,6,250,DC,0.77,-2.198486328125,5.27099609375,NP
78,6,250,DC,0.78,-2.2021484375,5.272216796875,NP
79,6,250,DC,0.79,-2.20458984375,5.27099609375,NP
80,6,250,DC,0.8,-2.20703125,5.27099609375,NP
81,6,250,DC,0.81,-2.205810546875,5.272216796875,NP
82,6,250,DC,0.8200000000000001,-2.205810546875,5.2734375,NP
83,6,250,DC,0.8300000000000001,-2.203369140625,5.272216796875,NP
84,6,250,DC,0.84,-2.198486328125,5.269775390625,NP
85,6,250,DC,0.85,-2.197265625,5.272216796875,NP
86,6,250,DC,0.86,-2.19970703125,5.272216796875,NP
87,6,250,DC,0.87,-2.19970703125,5.272216796875,NP
88,6,250,DC,0.88,-2.203369140625,5.27099609375,NP
89,6,250,DC,0.89,-2.20458984375,5.272216796875,NP
90,6,250,DC,0.9,-2.20703125,5.272216796875,NP
91,6,250,DC,0.91,-2.20703125,5.272216796875,NP
92,6,250,DC,0.92,-2.20458984375,5.272216796875,NP
93,6,250,DC,0.93,-2.200927734375,5.272216796875,NP
94,6,250,DC,0.9400000000000001,-2.19970703125,5.272216796875,NP
95,6,250,DC,0.9500000000000001,-2.198486328125,5.27099609375,NP
96,6,250,DC,0.96,-2.19970703125,5.272216796875,NP
97,6,250,DC,0.97,-2.2021484375,5.27099609375,NP
98,6,250,DC,0.98,-2.203369140625,5.272216796875,NP
99,6,250,DC,0.99,-2.20703125,5.272216796875,NP
100,6,250,DC,1.0,-2.20703125,5.27099609375,NP
101,6,250,DC,1.01,-2.203369140625,5.27099609375,NP
102,6,250,DC,1.02,-2.2021484375,5.27099609375,NP
103,6,250,DC,1.03,-2.198486328125,5.27099609375,NP
104,6,250,DC,1.04,-2.19970703125,5.27099609375,NP
105,6,250,DC,1.05,-2.197265625,5.272216796875,NP
106,6,250,DC,1.06,-2.200927734375,5.27099609375,NP
107,6,250,DC,1.07,-2.203369140625,5.272216796875,NP
108,6,250,DC,1.08,-2.205810546875,5.272216796875,NP
109,6,250,DC,1.09,-2.205810546875,5.272216796875,NP
110,6,250,DC,1.1,-2.205810546875,5.27099609375,NP
111,6,250,DC,1.11,-2.203369140625,5.27099609375,NP
112,6,250,DC,1.12,-2.200927734375,5.272216796875,NP
113,6,250,DC,1.1300000000000001,-2.198486328125,5.272216796875,NP
114,6,250,DC,1.1400000000000001,-2.19970703125,5.27099609375,NP
115,6,250,DC,1.1500000000000001,-2.19970703125,5.272216796875,NP
116,6,250,DC,1.16,-2.203369140625,5.27099609375,NP
117,6,250,DC,1.17,-2.205810546875,5.272216796875,NP
118,6,250,DC,1.18,-2.20703125,5.27099609375,NP
119,6,250,DC,1.19,-2.208251953125,5.272216796875,NP
120,6,250,DC,1.2,-2.203369140625,5.272216796875,NP
121,6,250,DC,1.21,-2.2021484375,5.27099609375,NP
122,6,250,DC,1.22,-2.19970703125,5.272216796875,NP
123,6,250,DC,1.23,-2.200927734375,5.272216796875,NP
124,6,250,DC,1.24,-2.19970703125,5.272216796875,NP
125,6,250,DC,1.25,-2.198486328125,5.272216796875,NP
126,6,250,DC,1.26,-2.203369140625,5.27099609375,NP
127,6,250,DC,1.27,-2.205810546875,5.272216796875,NP
128,6,250,DC,1.28,-2.205810546875,5.272216796875,NP
129,6,250,DC,1.29,-2.205810546875,5.272216796875,NP
130,6,250,DC,1.3,-2.203369140625,5.2734375,NP
131,6,250,DC,1.31,-2.19970703125,5.27099609375,NP
132,6,250,DC,1.32,-2.197265625,5.27099609375,NP
133,6,250,DC,1.33,-2.197265625,5.272216796875,NP
134,6,250,DC,1.34,-2.19970703125,5.2734375,NP
135,6,250,DC,1.35,-2.200927734375,5.2734375,NP
136,6,250,DC,1.36,-2.20458984375,5.272216796875,NP
137,6,250,DC,1.37,-2.20703125,5.2734375,NP
138,6,250,DC,1.3800000000000001,-2.205810546875,5.272216796875,NP
139,6,250,DC,1.3900000000000001,-2.205810546875,5.27099609375,NP
140,6,250,DC,1.4000000000000001,-2.203369140625,5.2734375,NP
141,6,250,DC,1.41,-2.2021484375,5.272216796875,NP
142,6,250,DC,1.42,-2.19970703125,5.272216796875,NP
143,6,250,DC,1.43,-2.198486328125,5.272216796875,NP
144,6,250,DC,1.44,-2.19970703125,5.272216796875,NP
145,6,250,DC,1.45,-2.20458984375,5.272216796875,NP
146,6,250,DC,1.46,-2.205810546875,5.272216796875,NP
147,6,250,DC,1.47,-2.205810546875,5.272216796875,NP
148,6,250,DC,1.48,-2.208251953125,5.2734375,NP
149,6,250,DC,1.49,-2.20458984375,5.2734375,NP
150,6,250,DC,1.5,-2.2021484375,5.2734375,NP
151,6,250,DC,1.51,-2.19970703125,5.2734375,NP
152,6,250,DC,1.52,-2.198486328125,5.272216796875,NP
153,6,250,DC,1.53,-2.198486328125,5.2734375,NP
154,6,250,DC,1.54,-2.200927734375,5.2734375,NP
155,6,250,DC,1.55,-2.203369140625,5.272216796875,NP
156,6,250,DC,1.56,-2.205810546875,5.2734375,NP
157,6,250,DC,1.57,-2.20458984375,5.272216796875,NP
158,6,250,DC,1.58,-2.203369140625,5.272216796875,NP
159,6,250,DC,1.59,-2.203369140625,5.2734375,NP
160,6,250,DC,1.6,-2.19970703125,5.2734375,NP
161,6,250,DC,1.61,-2.198486328125,5.274658203125,NP
162,6,250,DC,1.62,-2.19970703125,5.2734375,NP
163,6,250,DC,1.6300000000000001,-2.19970703125,5.2734375,NP
164,6,250,DC,1.6400000000000001,-2.2021484375,5.2734375,NP
165,6,250,DC,1.6500000000000001,-2.20458984375,5.2734375,NP
166,6,250,DC,1.6600000000000001,-2.20703125,5.2734375,NP
167,6,250,DC,1.67,-2.20458984375,5.2734375,NP
168,6,250,DC,1.68,-2.20458984375,5.2734375,NP
169,6,250,DC,1.69,-2.203369140625,5.272216796875,NP
170,6,250,DC,1.7,-2.200927734375,5.2734375,NP
171,6,250,DC,1.71,-2.196044921875,5.272216796875,NP
172,6,250,DC,1.72,-2.198486328125,5.2734375,NP
173,6,250,DC,1.73,-2.200927734375,5.272216796875,NP
174,6,250,DC,1.74,-2.205810546875,5.272216796875,NP
175,6,250,DC,1.75,-2.205810546875,5.272216796875,NP
176,6,250,DC,1.76,-2.20458984375,5.2734375,NP
177,6,250,DC,1.77,-2.205810546875,5.2734375,NP
178,6,250,DC,1.78,-2.203369140625,5.2734375,NP
179,6,250,DC,1.79,-2.200927734375,5.272216796875,NP
180,6,250,DC,1.8,-2.197265625,5.2734375,NP
181,6,250,DC,1.81,-2.19970703125,5.27099609375,NP
182,6,250,DC,1.82,-2.19970703125,5.272216796875,NP
183,6,250,DC,1.83,-2.203369140625,5.272216796875,NP
184,6,250,DC,1.84,-2.20458984375,5.272216796875,NP
185,6,250,DC,1.85,-2.208251953125,5.272216796875,NP
186,6,250,DC,1.86,-2.20703125,5.272216796875,NP
187,6,250,DC,1.87,-2.2021484375,5.272216796875,NP
188,6,250,DC,1.8800000000000001,-2.2021484375,5.272216796875,NP
189,6,250,DC,1.8900000000000001,-2.198486328125,5.27099609375,NP
190,6,250,DC,1.9000000000000001,-2.19970703125,5.272216796875,NP
191,6,250,DC,1.9100000000000001,-2.197265625,5.272216796875,NP
192,6,250,DC,1.92,-2.200927734375,5.2734375,NP
193,6,250,DC,1.93,-2.203369140625,5.272216796875,NP
194,6,250,DC,1.94,-2.205810546875,5.274658203125,NP
195,6,250,DC,1.95,-2.208251953125,5.2734375,NP
196,6,250,DC,1.96,-2.205810546875,5.272216796875,NP
197,6,250,DC,1.97,-2.203369140625,5.2734375,NP
198,6,250,DC,1.98,-2.2021484375,5.2734375,NP
199,6,250,DC,1.99,-2.198486328125,5.272216796875,NP
200,6,250,DC,2.0,-2.200927734375,5.272216796875,NP
201,6,250,DC,2.0100000000000002,-2.19970703125,5.272216796875,NP
202,6,250,DC,2.02,-2.2021484375,5.272216796875,NP
203,6,250,DC,2.0300000000000002,-2.205810546875,5.272216796875,NP
204,6,250,DC,2.04,-2.208251953125,5.272216796875,NP
205,6,250,DC,2.05,-2.20703125,5.272216796875,NP
206,6,250,DC,2.06,-2.20458984375,5.272216796875,NP
207,6,250,DC,2.07,-2.2021484375,5.2734375,NP
208,6,250,DC,2.08,-2.200927734375,5.2734375,NP
209,6,250,DC,2.09,-2.19970703125,5.2734375,NP
210,6,250,DC,2.1,-2.19970703125,5.272216796875,NP
211,6,250,DC,2.11,-2.19970703125,5.272216796875,NP
212,6,250,DC,2.12,-2.20458984375,5.272216796875,NP
213,6,250,DC,2.13,-2.205810546875,5.272216796875,NP
214,6,250,DC,2.14,-2.20703125,5.272216796875,NP
215,6,250,DC,2.15,-2.205810546875,5.2734375,NP
216,6,250,DC,2.16,-2.200927734375,5.2734375,NP
217,6,250,DC,2.17,-2.198486328125,5.2734375,NP
218,6,250,DC,2.18,-2.196044921875,5.272216796875,NP
219,6,250,DC,2.19,-2.197265625,5.272216796875,NP
220,6,250,DC,2.2,-2.200927734375,5.272216796875,NP
221,6,250,DC,2.21,-2.203369140625,5.272216796875,NP
222,6,250,DC,2.22,-2.20458984375,5.2734375,NP
223,6,250,DC,2.23,-2.208251953125,5.272216796875,NP
224,6,250,DC,2.24,-2.208251953125,5.2734375,NP
225,6,250,DC,2.25,-2.203369140625,5.272216796875,NP
226,6,250,DC,2.2600000000000002,-2.203369140625,5.2734375,NP
227,6,250,DC,2.27,-2.19970703125,5.27099609375,NP
228,6,250,DC,2.2800000000000002,-2.196044921875,5.2734375,NP
229,6,250,DC,2.29,-2.19970703125,5.27099609375,NP
230,6,250,DC,2.3000000000000003,-2.200927734375,5.272216796875,NP
231,6,250,DC,2.31,-2.20458984375,5.272216796875,NP
232,6,250,DC,2.32,-2.205810546875,5.272216796875,NP
233,6,250,DC,2.33,-2.208251953125,5.2734375,NP
234,6,250,DC,2.34,-2.205810546875,5.2734375,NP
235,6,250,DC,2.35,-2.2021484375,5.2734375,NP
236,6,250,DC,2.36,-2.2021484375,5.2734375,NP
237,6,250,DC,2.37,-2.197265625,5.2734375,NP
238,6,250,DC,2.38,-2.197265625,5.272216796875,NP
239,6,250,DC,2.39,-2.19970703125,5.2734375,NP
240,6,250,DC,2.4,-2.203369140625,5.2734375,NP
241,6,250,DC,2.41,-2.203369140625,5.2734375,NP
242,6,250,DC,2.42,-2.20458984375,5.2734375,NP
243,6,250,DC,2.43,-2.208251953125,5.2734375,NP
244,6,250,DC,2.44,-2.20458984375,5.272216796875,NP
245,6,250,DC,2.45,-2.203369140625,5.272216796875,NP
246,6,250,DC,2.46,-2.2021484375,5.2734375,NP
247,6,250,DC,2.47,-2.19970703125,5.272216796875,NP
248,6,250,DC,2.48,-2.19970703125,5.2734375,NP
249,6,250,DC,2.49,-2.19970703125,5.2734375,NP
250,6,250,DC,2.5,-2.20458984375,5.272216796875,NP
251,6,250,DC,2.5100000000000002,-2.205810546875,5.2734375,NP
252,6,250,DC,2.52,-2.20703125,5.2734375,NP
