,resistance,voltage,current,time,pre_rect,post_rect,labels
0,6,250,DC,0.0,0.00244140625,7.427978515625,NP
1,6,250,DC,0.01,0.001220703125,7.4267578125,NP
2,6,250,DC,0.02,0.001220703125,7.4267578125,NP
3,6,250,DC,0.03,0.0,7.4267578125,NP
4,6,250,DC,0.04,0.001220703125,7.4267578125,NP
5,6,250,DC,0.05,0.0048828125,7.427978515625,NP
6,6,250,DC,0.06,0.001220703125,7.4267578125,NP
7,6,250,DC,0.07,0.00244140625,7.427978515625,NP
8,6,250,DC,0.08,0.0048828125,7.427978515625,NP
9,6,250,DC,0.09,0.003662109375,7.427978515625,NP
10,6,250,DC,0.1,0.003662109375,7.427978515625,NP
11,6,250,DC,0.11,0.001220703125,7.427978515625,NP
12,6,250,DC,0.12,-0.001220703125,7.427978515625,NP
13,6,250,DC,0.13,0.0,7.42919921875,NP
14,6,250,DC,0.14,-0.001220703125,7.4267578125,NP
15,6,250,DC,0.15,0.0,7.4267578125,NP
16,6,250,DC,0.16,0.00244140625,7.425537109375,NP
17,6,250,DC,0.17,0.003662109375,7.42919921875,NP
18,6,250,DC,0.18,0.003662109375,7.427978515625,NP
19,6,250,DC,0.19,0.003662109375,7.427978515625,NP
20,6,250,DC,0.2,0.001220703125,7.427978515625,NP
21,6,250,DC,0.21,-0.001220703125,7.4267578125,NP
22,6,250,DC,0.22,0.0,7.42919921875,NP
23,6,250,DC,0.23,-0.001220703125,7.4267578125,NP
24,6,250,DC,0.24,-0.00244140625,7.42919921875,NP
25,6,250,DC,0.25,0.0,7.4267578125,NP
26,6,250,DC,0.26,0.003662109375,7.4267578125,NP
27,6,250,DC,0.27,0.0048828125,7.427978515625,NP
28,6,250,DC,0.28,0.003662109375,7.425537109375,NP
29,6,250,DC,0.29,0.0048828125,7.4267578125,NP
30,6,250,DC,0.3,0.0,7.427978515625,NP
31,6,250,DC,0.31,0.001220703125,7.425537109375,NP
32,6,250,DC,0.32,0.001220703125,7.427978515625,NP
33,6,250,DC,0.33,-0.001220703125,7.4267578125,NP
34,6,250,DC,0.34,0.00244140625,7.4267578125,NP
35,6,250,DC,0.35000000000000003,0.00244140625,7.4267578125,NP
36,6,250,DC,0.36,0.00244140625,7.427978515625,NP
37,6,250,DC,0.37,0.00244140625,7.4267578125,NP
38,6,250,DC,0.38,0.006103515625,7.42919921875,NP
39,6,250,DC,0.39,0.00244140625,7.4267578125,NP
40,6,250,DC,0.4,0.0048828125,7.4267578125,NP
41,6,250,DC,0.41000000000000003,0.00244140625,7.4267578125,NP
42,6,250,DC,0.42,0.001220703125,7.427978515625,NP
43,6,250,DC,0.43,0.00244140625,7.4267578125,NP
44,6,250,DC,0.44,0.0,7.427978515625,NP
45,6,250,DC,0.45,0.001220703125,7.427978515625,NP
46,6,250,DC,0.46,0.003662109375,7.4267578125,NP
47,6,250,DC,0.47000000000000003,0.001220703125,7.4267578125,NP
48,6,250,DC,0.48,0.006103515625,7.427978515625,NP
49,6,250,DC,0.49,0.0048828125,7.427978515625,NP
50,6,250,DC,0.5,0.003662109375,7.427978515625,NP
51,6,250,DC,0.51,0.001220703125,7.4267578125,NP
52,6,250,DC,0.52,0.0,7.427978515625,NP
53,6,250,DC,0.53,0.0,7.4267578125,NP
54,6,250,DC,0.54,0.00244140625,7.4267578125,NP
55,6,250,DC,0.55,0.00244140625,7.4267578125,NP
56,6,250,DC,0.56,0.00244140625,7.427978515625,NP
57,6,250,DC,0.5700000000000001,0.00732421875,7.427978515625,NP
58,6,250,DC,0.58,0.00244140625,7.427978515625,NP
59,6,250,DC,0.59,0.003662109375,7.4267578125,NP
60,6,250,DC,0.6,0.0,7.4267578125,NP
61,6,250,DC,0.61,0.001220703125,7.4267578125,NP
62,6,250,DC,0.62,0.0,7.427978515625,NP
63,6,250,DC,0.63,0.0,7.425537109375,NP
64,6,250,DC,0.64,0.0,7.4267578125,NP
65,6,250,DC,0.65,0.00244140625,7.427978515625,NP
66,6,250,DC,0.66,0.003662109375,7.4267578125,NP
67,6,250,DC,0.67,0.003662109375,7.427978515625,NP
68,6,250,DC,0.68,0.0048828125,7.4267578125,NP
69,6,250,DC,0.6900000000000001,0.003662109375,7.425537109375,NP
70,6,250,DC,0.7000000000000001,0.001220703125,7.42431640625,NP
71,6,250,DC,0.71,0.00244140625,7.427978515625,NP
72,6,250,DC,0.72,0.0,7.4267578125,NP
73,6,250,DC,0.73,-0.00244140625,7.425537109375,NP
74,6,250,DC,0.74,0.0,7.4267578125,NP
75,6,250,DC,0.75,0.0048828125,7.425537109375,NP
76,6,250,DC,0.76,0.00244140625,7.4267578125,NP
77,6,250,DC,0.77,0.0048828125,7.427978515625,NP
78,6,250,DC,0.78,0.0048828125,7.427978515625,NP
79,6,250,DC,0.79,0.00244140625,7.427978515625,NP
80,6,250,DC,0.8,0.001220703125,7.4267578125,NP
81,6,250,DC,0.81,0.0,7.4267578125,NP
82,6,250,DC,0.8200000000000001,0.00244140625,7.4267578125,NP
83,6,250,DC,0.8300000000000001,0.001220703125,7.4267578125,NP
84,6,250,DC,0.84,0.001220703125,7.427978515625,NP
85,6,250,DC,0.85,0.001220703125,7.4267578125,NP
86,6,250,DC,0.86,0.003662109375,7.4267578125,NP
87,6,250,DC,0.87,0.006103515625,7.4267578125,NP
88,6,250,DC,0.88,0.00244140625,7.4267578125,NP
89,6,250,DC,0.89,0.003662109375,7.427978515625,NP
90,6,250,DC,0.9,0.001220703125,7.427978515625,NP
91,6,250,DC,0.91,0.00244140625,7.427978515625,NP
