,resistance,voltage,current,time,pre_rect,post_rect,labels
0,9,75,DC,0.0,-0.07568359375,7.46337890625,NP
1,9,75,DC,0.01,-0.07568359375,7.4609375,NP
2,9,75,DC,0.02,-0.074462890625,7.46337890625,NP
3,9,75,DC,0.03,-0.07568359375,7.46337890625,NP
4,9,75,DC,0.04,-0.078125,7.46337890625,NP
5,9,75,DC,0.05,-0.076904296875,7.46337890625,NP
6,9,75,DC,0.06,-0.076904296875,7.464599609375,NP
7,9,75,DC,0.07,-0.07568359375,7.464599609375,NP
8,9,75,DC,0.08,-0.076904296875,7.46337890625,NP
9,9,75,DC,0.09,-0.076904296875,7.462158203125,NP
10,9,75,DC,0.1,-0.076904296875,7.462158203125,NP
11,9,75,DC,0.11,-0.074462890625,7.462158203125,NP
12,9,75,DC,0.12,-0.076904296875,7.46337890625,NP
13,9,75,DC,0.13,-0.076904296875,7.46337890625,NP
14,9,75,DC,0.14,-0.07568359375,7.462158203125,NP
15,9,75,DC,0.15,-0.07568359375,7.46337890625,NP
16,9,75,DC,0.16,-0.076904296875,7.462158203125,NP
17,9,75,DC,0.17,-0.076904296875,7.46337890625,NP
18,9,75,DC,0.18,-0.076904296875,7.46337890625,NP
19,9,75,DC,0.19,-0.079345703125,7.46337890625,NP
20,9,75,DC,0.2,-0.076904296875,7.462158203125,NP
21,9,75,DC,0.21,-0.07568359375,7.464599609375,NP
22,9,75,DC,0.22,-0.076904296875,7.46337890625,NP
23,9,75,DC,0.23,-0.074462890625,7.464599609375,NP
24,9,75,DC,0.24,-0.076904296875,7.46337890625,NP
25,9,75,DC,0.25,-0.076904296875,7.46337890625,NP
26,9,75,DC,0.26,-0.074462890625,7.462158203125,NP
27,9,75,DC,0.27,-0.076904296875,7.462158203125,NP
28,9,75,DC,0.28,-0.07568359375,7.462158203125,NP
29,9,75,DC,0.29,-0.076904296875,7.462158203125,NP
30,9,75,DC,0.3,-0.078125,7.462158203125,NP
31,9,75,DC,0.31,-0.07568359375,7.462158203125,NP
32,9,75,DC,0.32,-0.076904296875,7.4609375,NP
33,9,75,DC,0.33,-0.078125,7.46337890625,NP
34,9,75,DC,0.34,-0.076904296875,7.462158203125,NP
35,9,75,DC,0.35000000000000003,-0.076904296875,7.46337890625,NP
36,9,75,DC,0.36,-0.076904296875,7.462158203125,NP
37,9,75,DC,0.37,-0.07568359375,7.46337890625,NP
38,9,75,DC,0.38,-0.078125,7.46337890625,NP
39,9,75,DC,0.39,-0.078125,7.46337890625,NP
40,9,75,DC,0.4,-0.076904296875,7.464599609375,NP
41,9,75,DC,0.41000000000000003,-0.078125,7.46337890625,NP
42,9,75,DC,0.42,-0.076904296875,7.462158203125,NP
43,9,75,DC,0.43,-0.07568359375,7.46337890625,NP
44,9,75,DC,0.44,-0.076904296875,7.46337890625,NP
45,9,75,DC,0.45,-0.078125,7.464599609375,NP
46,9,75,DC,0.46,-0.076904296875,7.46337890625,NP
47,9,75,DC,0.47000000000000003,-0.078125,7.4658203125,NP
48,9,75,DC,0.48,-0.074462890625,7.46337890625,NP
49,9,75,DC,0.49,-0.07568359375,7.464599609375,NP
50,9,75,DC,0.5,-0.076904296875,7.46337890625,NP
51,9,75,DC,0.51,-0.07568359375,7.46337890625,NP
52,9,75,DC,0.52,-0.07568359375,7.46337890625,NP
53,9,75,DC,0.53,-0.076904296875,7.46337890625,NP
54,9,75,DC,0.54,-0.07568359375,7.46337890625,NP
55,9,75,DC,0.55,-0.074462890625,7.46337890625,NP
56,9,75,DC,0.56,-0.07568359375,7.46337890625,NP
57,9,75,DC,0.5700000000000001,-0.076904296875,7.462158203125,NP
58,9,75,DC,0.58,-0.074462890625,7.462158203125,NP
59,9,75,DC,0.59,-0.076904296875,7.46337890625,NP
60,9,75,DC,0.6,-0.076904296875,7.462158203125,NP
61,9,75,DC,0.61,-0.07568359375,7.462158203125,NP
62,9,75,DC,0.62,-0.07568359375,7.46337890625,NP
63,9,75,DC,0.63,-0.076904296875,7.46337890625,NP
64,9,75,DC,0.64,-0.076904296875,7.462158203125,NP
65,9,75,DC,0.65,-0.078125,7.46337890625,NP
66,9,75,DC,0.66,-0.076904296875,7.46337890625,NP
67,9,75,DC,0.67,-0.079345703125,7.46337890625,NP
68,9,75,DC,0.68,-0.076904296875,7.46337890625,NP
69,9,75,DC,0.6900000000000001,-0.076904296875,7.46337890625,NP
70,9,75,DC,0.7000000000000001,-0.07568359375,7.46337890625,NP
71,9,75,DC,0.71,-0.078125,7.464599609375,NP
72,9,75,DC,0.72,-0.07568359375,7.462158203125,NP
73,9,75,DC,0.73,-0.079345703125,7.46337890625,NP
74,9,75,DC,0.74,-0.074462890625,7.46337890625,NP
75,9,75,DC,0.75,-0.07568359375,7.464599609375,NP
76,9,75,DC,0.76,-0.078125,7.462158203125,NP
77,9,75,DC,0.77,-0.076904296875,7.46337890625,NP
78,9,75,DC,0.78,-0.07568359375,7.46337890625,NP
79,9,75,DC,0.79,-0.078125,7.46337890625,NP
80,9,75,DC,0.8,-0.074462890625,7.46337890625,NP
81,9,75,DC,0.81,-0.07568359375,7.46337890625,NP
82,9,75,DC,0.8200000000000001,-0.07568359375,7.46337890625,NP
83,9,75,DC,0.8300000000000001,-0.07568359375,7.46337890625,NP
84,9,75,DC,0.84,-0.078125,7.462158203125,NP
85,9,75,DC,0.85,-0.07568359375,7.46337890625,NP
86,9,75,DC,0.86,-0.07568359375,7.462158203125,NP
87,9,75,DC,0.87,-0.076904296875,7.462158203125,NP
88,9,75,DC,0.88,-0.076904296875,7.46337890625,NP
89,9,75,DC,0.89,-0.07568359375,7.46337890625,NP
90,9,75,DC,0.9,-0.076904296875,7.464599609375,NP
91,9,75,DC,0.91,-0.078125,7.464599609375,NP
92,9,75,DC,0.92,-0.076904296875,7.464599609375,NP
93,9,75,DC,0.93,-0.074462890625,7.464599609375,NP
94,9,75,DC,0.9400000000000001,-0.076904296875,7.46337890625,NP
95,9,75,DC,0.9500000000000001,-0.076904296875,7.46337890625,NP
96,9,75,DC,0.96,-0.076904296875,7.464599609375,NP
97,9,75,DC,0.97,-0.078125,7.464599609375,NP
98,9,75,DC,0.98,-0.078125,7.462158203125,NP
99,9,75,DC,0.99,-0.076904296875,7.46337890625,NP
100,9,75,DC,1.0,-0.078125,7.4609375,NP
101,9,75,DC,1.01,-0.07568359375,7.46337890625,NP
102,9,75,DC,1.02,-0.076904296875,7.46337890625,NP
103,9,75,DC,1.03,-0.07568359375,7.46337890625,NP
104,9,75,DC,1.04,-0.07568359375,7.46337890625,NP
105,9,75,DC,1.05,-0.076904296875,7.46337890625,NP
106,9,75,DC,1.06,-0.076904296875,7.46337890625,NP
107,9,75,DC,1.07,-0.07568359375,7.46337890625,NP
108,9,75,DC,1.08,-0.078125,7.46337890625,NP
109,9,75,DC,1.09,-0.07568359375,7.46337890625,NP
110,9,75,DC,1.1,-0.078125,7.46337890625,NP
111,9,75,DC,1.11,-0.076904296875,7.46337890625,NP
112,9,75,DC,1.12,-0.076904296875,7.46337890625,NP
113,9,75,DC,1.1300000000000001,-0.076904296875,7.462158203125,NP
114,9,75,DC,1.1400000000000001,-0.07568359375,7.462158203125,NP
115,9,75,DC,1.1500000000000001,-0.076904296875,7.46337890625,NP
116,9,75,DC,1.16,-0.07568359375,7.46337890625,NP
117,9,75,DC,1.17,-0.078125,7.46337890625,NP
118,9,75,DC,1.18,-0.07568359375,7.46337890625,NP
119,9,75,DC,1.19,-0.07568359375,7.46337890625,NP
120,9,75,DC,1.2,-0.076904296875,7.46337890625,NP
121,9,75,DC,1.21,-0.076904296875,7.46337890625,NP
122,9,75,DC,1.22,-0.07568359375,7.46337890625,NP
123,9,75,DC,1.23,-0.076904296875,7.46337890625,NP
124,9,75,DC,1.24,-0.076904296875,7.4658203125,NP
125,9,75,DC,1.25,-0.076904296875,7.46337890625,NP
126,9,75,DC,1.26,-0.07568359375,7.46337890625,NP
127,9,75,DC,1.27,-0.076904296875,7.46337890625,NP
128,9,75,DC,1.28,-0.076904296875,7.464599609375,NP
129,9,75,DC,1.29,-0.07568359375,7.462158203125,NP
130,9,75,DC,1.3,-0.078125,7.464599609375,NP
131,9,75,DC,1.31,-0.078125,7.46337890625,NP
132,9,75,DC,1.32,-0.074462890625,7.464599609375,NP
133,9,75,DC,1.33,-0.078125,7.464599609375,NP
134,9,75,DC,1.34,-0.07568359375,7.46337890625,NP
135,9,75,DC,1.35,-0.07568359375,7.46337890625,NP
136,9,75,DC,1.36,-0.074462890625,7.46337890625,NP
137,9,75,DC,1.37,-0.078125,7.462158203125,NP
138,9,75,DC,1.3800000000000001,-0.07568359375,7.46337890625,NP
139,9,75,DC,1.3900000000000001,-0.076904296875,7.462158203125,NP
140,9,75,DC,1.4000000000000001,-0.078125,7.462158203125,NP
141,9,75,DC,1.41,-0.076904296875,7.46337890625,NP
142,9,75,DC,1.42,-0.078125,7.46337890625,NP
143,9,75,DC,1.43,-0.076904296875,7.46337890625,NP
144,9,75,DC,1.44,-0.076904296875,7.46337890625,NP
145,9,75,DC,1.45,-0.079345703125,7.46337890625,NP
146,9,75,DC,1.46,-0.078125,7.462158203125,NP
147,9,75,DC,1.47,-0.074462890625,7.464599609375,NP
148,9,75,DC,1.48,-0.076904296875,7.462158203125,NP
149,9,75,DC,1.49,-0.078125,7.46337890625,NP
150,9,75,DC,1.5,-0.07568359375,7.462158203125,NP
151,9,75,DC,1.51,-0.076904296875,7.46337890625,NP
152,9,75,DC,1.52,-0.078125,7.46337890625,NP
153,9,75,DC,1.53,-0.078125,7.46337890625,NP
154,9,75,DC,1.54,-0.076904296875,7.46337890625,NP
155,9,75,DC,1.55,-0.078125,7.46337890625,NP
156,9,75,DC,1.56,-0.076904296875,7.46337890625,NP
157,9,75,DC,1.57,-0.07568359375,7.464599609375,NP
158,9,75,DC,1.58,-0.076904296875,7.462158203125,NP
159,9,75,DC,1.59,-0.076904296875,7.46337890625,NP
160,9,75,DC,1.6,-0.078125,7.46337890625,NP
161,9,75,DC,1.61,-0.074462890625,7.46337890625,NP
162,9,75,DC,1.62,-0.078125,7.46337890625,NP
163,9,75,DC,1.6300000000000001,-0.078125,7.46337890625,NP
164,9,75,DC,1.6400000000000001,-0.07568359375,7.46337890625,NP
165,9,75,DC,1.6500000000000001,-0.076904296875,7.462158203125,NP
166,9,75,DC,1.6600000000000001,-0.074462890625,7.46337890625,NP
167,9,75,DC,1.67,-0.078125,7.462158203125,NP
168,9,75,DC,1.68,-0.07568359375,7.46337890625,NP
169,9,75,DC,1.69,-0.07568359375,7.462158203125,NP
170,9,75,DC,1.7,-0.074462890625,7.462158203125,NP
171,9,75,DC,1.71,-0.076904296875,7.46337890625,NP
172,9,75,DC,1.72,-0.076904296875,7.46337890625,NP
173,9,75,DC,1.73,-0.076904296875,7.462158203125,NP
174,9,75,DC,1.74,-0.076904296875,7.46337890625,NP
175,9,75,DC,1.75,-0.078125,7.464599609375,NP
176,9,75,DC,1.76,-0.076904296875,7.46337890625,NP
177,9,75,DC,1.77,-0.07568359375,7.462158203125,NP
178,9,75,DC,1.78,-0.076904296875,7.46337890625,NP
179,9,75,DC,1.79,-0.076904296875,7.464599609375,NP
180,9,75,DC,1.8,-0.076904296875,7.464599609375,NP
181,9,75,DC,1.81,-0.07568359375,7.46337890625,NP
182,9,75,DC,1.82,-0.076904296875,7.462158203125,NP
183,9,75,DC,1.83,-0.076904296875,7.46337890625,NP
184,9,75,DC,1.84,-0.078125,7.46337890625,NP
185,9,75,DC,1.85,-0.076904296875,7.464599609375,NP
186,9,75,DC,1.86,-0.076904296875,7.464599609375,NP
187,9,75,DC,1.87,-0.079345703125,7.462158203125,NP
188,9,75,DC,1.8800000000000001,-0.076904296875,7.46337890625,NP
189,9,75,DC,1.8900000000000001,-0.076904296875,7.46337890625,NP
190,9,75,DC,1.9000000000000001,-0.07568359375,7.46337890625,NP
191,9,75,DC,1.9100000000000001,-0.076904296875,7.46337890625,NP
192,9,75,DC,1.92,-0.076904296875,7.46337890625,NP
193,9,75,DC,1.93,-0.074462890625,7.462158203125,NP
194,9,75,DC,1.94,-0.07568359375,7.462158203125,NP
195,9,75,DC,1.95,-0.078125,7.46337890625,NP
196,9,75,DC,1.96,-0.078125,7.4609375,NP
197,9,75,DC,1.97,-0.07568359375,7.46337890625,NP
198,9,75,DC,1.98,-0.076904296875,7.46337890625,NP
199,9,75,DC,1.99,-0.07568359375,7.46337890625,NP
200,9,75,DC,2.0,-0.076904296875,7.462158203125,NP
201,9,75,DC,2.0100000000000002,-0.07568359375,7.46337890625,NP
202,9,75,DC,2.02,-0.076904296875,7.462158203125,NP
203,9,75,DC,2.0300000000000002,-0.076904296875,7.46337890625,NP
204,9,75,DC,2.04,-0.07568359375,7.46337890625,NP
205,9,75,DC,2.05,-0.07568359375,7.46337890625,NP
206,9,75,DC,2.06,-0.076904296875,7.462158203125,NP
207,9,75,DC,2.07,-0.07568359375,7.46337890625,NP
208,9,75,DC,2.08,-0.076904296875,7.46337890625,NP
209,9,75,DC,2.09,-0.076904296875,7.46337890625,NP
210,9,75,DC,2.1,-0.076904296875,7.46337890625,NP
211,9,75,DC,2.11,-0.078125,7.46337890625,NP
212,9,75,DC,2.12,-0.07568359375,7.462158203125,NP
213,9,75,DC,2.13,-0.07568359375,7.464599609375,NP
214,9,75,DC,2.14,-0.078125,7.46337890625,NP
215,9,75,DC,2.15,-0.076904296875,7.464599609375,NP
216,9,75,DC,2.16,-0.07568359375,7.46337890625,NP
217,9,75,DC,2.17,-0.078125,7.46337890625,NP
218,9,75,DC,2.18,-0.078125,7.46337890625,NP
219,9,75,DC,2.19,-0.076904296875,7.464599609375,NP
220,9,75,DC,2.2,-0.07568359375,7.462158203125,NP
221,9,75,DC,2.21,-0.07568359375,7.462158203125,NP
222,9,75,DC,2.22,-0.076904296875,7.46337890625,NP
223,9,75,DC,2.23,-0.078125,7.462158203125,NP
224,9,75,DC,2.24,-0.078125,7.46337890625,NP
225,9,75,DC,2.25,-0.078125,7.46337890625,NP
226,9,75,DC,2.2600000000000002,-0.07568359375,7.462158203125,NP
227,9,75,DC,2.27,-0.07568359375,7.46337890625,NP
228,9,75,DC,2.2800000000000002,-0.078125,7.46337890625,NP
229,9,75,DC,2.29,-0.07568359375,7.462158203125,NP
230,9,75,DC,2.3000000000000003,-0.076904296875,7.4609375,NP
231,9,75,DC,2.31,-0.07568359375,7.4609375,NP
232,9,75,DC,2.32,-0.078125,7.46337890625,NP
233,9,75,DC,2.33,-0.079345703125,7.4658203125,NP
234,9,75,DC,2.34,-0.078125,7.46337890625,NP
235,9,75,DC,2.35,-0.07568359375,7.4609375,NP
236,9,75,DC,2.36,-0.07568359375,7.46337890625,NP
237,9,75,DC,2.37,-0.078125,7.46337890625,NP
238,9,75,DC,2.38,-0.076904296875,7.46337890625,NP
239,9,75,DC,2.39,-0.078125,7.464599609375,NP
240,9,75,DC,2.4,-0.076904296875,7.462158203125,NP
241,9,75,DC,2.41,-0.078125,7.46337890625,NP
242,9,75,DC,2.42,-0.07568359375,7.46337890625,NP
243,9,75,DC,2.43,-0.078125,7.46337890625,NP
244,9,75,DC,2.44,-0.074462890625,7.462158203125,NP
245,9,75,DC,2.45,-0.079345703125,7.46337890625,NP
246,9,75,DC,2.46,-0.078125,7.46337890625,NP
247,9,75,DC,2.47,-0.076904296875,7.4609375,NP
248,9,75,DC,2.48,-0.07568359375,7.462158203125,NP
249,9,75,DC,2.49,-0.076904296875,7.46337890625,NP
250,9,75,DC,2.5,-0.076904296875,7.462158203125,NP
251,9,75,DC,2.5100000000000002,-0.076904296875,7.46337890625,NP
252,9,75,DC,2.52,-0.07568359375,7.46337890625,NP
253,9,75,DC,2.5300000000000002,-0.07568359375,7.46337890625,NP
254,9,75,DC,2.54,-0.07568359375,7.462158203125,NP
255,9,75,DC,2.5500000000000003,-0.076904296875,7.462158203125,NP
256,9,75,DC,2.56,-0.07568359375,7.46337890625,NP
257,9,75,DC,2.57,-0.076904296875,7.464599609375,NP
258,9,75,DC,2.58,-0.076904296875,7.464599609375,NP
259,9,75,DC,2.59,-0.07568359375,7.46337890625,NP
260,9,75,DC,2.6,-0.07568359375,7.464599609375,NP
261,9,75,DC,2.61,-0.076904296875,7.464599609375,NP
262,9,75,DC,2.62,-0.078125,7.46337890625,NP
263,9,75,DC,2.63,-0.078125,7.464599609375,NP
264,9,75,DC,2.64,-0.076904296875,7.464599609375,NP
265,9,75,DC,2.65,-0.07568359375,7.46337890625,NP
266,9,75,DC,2.66,-0.078125,7.46337890625,NP
