,resistance,voltage,current,time,pre_rect,post_rect,labels
0,9,75,DC,0.0,0.008544921875,7.46826171875,NP
1,9,75,DC,0.01,0.008544921875,7.469482421875,NP
2,9,75,DC,0.02,0.009765625,7.46826171875,NP
3,9,75,DC,0.03,0.01708984375,7.470703125,NP
4,9,75,DC,0.04,0.01953125,7.474365234375,NP
5,9,75,DC,0.05,0.02685546875,7.481689453125,NP
6,9,75,DC,0.06,0.030517578125,7.48291015625,NP
7,9,75,DC,0.07,0.03662109375,7.490234375,NP
8,9,75,DC,0.08,0.03662109375,7.49267578125,NP
9,9,75,DC,0.09,0.037841796875,7.4951171875,NP
10,9,75,DC,0.1,0.0390625,7.49755859375,NP
11,9,75,DC,0.11,0.0390625,7.49755859375,NP
12,9,75,DC,0.12,0.040283203125,7.49755859375,NP
13,9,75,DC,0.13,0.037841796875,7.5,NP
14,9,75,DC,0.14,0.037841796875,7.501220703125,NP
15,9,75,DC,0.15,0.0390625,7.5,NP
16,9,75,DC,0.16,0.03662109375,7.5,NP
17,9,75,DC,0.17,0.037841796875,7.501220703125,NP
18,9,75,DC,0.18,0.04150390625,7.501220703125,NP
19,9,75,DC,0.19,0.037841796875,7.49755859375,NP
20,9,75,DC,0.2,0.0390625,7.498779296875,NP
21,9,75,DC,0.21,0.03662109375,7.5,NP
22,9,75,DC,0.22,0.0390625,7.5,NP
23,9,75,DC,0.23,0.037841796875,7.5,NP
24,9,75,DC,0.24,0.03662109375,7.501220703125,NP
25,9,75,DC,0.25,0.037841796875,7.498779296875,NP
26,9,75,DC,0.26,0.0341796875,7.498779296875,NP
27,9,75,DC,0.27,0.037841796875,7.49755859375,NP
28,9,75,DC,0.28,0.037841796875,7.49755859375,NP
29,9,75,DC,0.29,0.035400390625,7.498779296875,NP
30,9,75,DC,0.3,0.035400390625,7.496337890625,NP
31,9,75,DC,0.31,0.035400390625,7.4951171875,NP
32,9,75,DC,0.32,0.032958984375,7.4951171875,NP
33,9,75,DC,0.33,0.03173828125,7.49267578125,NP
34,9,75,DC,0.34,0.032958984375,7.49267578125,NP
35,9,75,DC,0.35000000000000003,0.029296875,7.491455078125,NP
36,9,75,DC,0.36,0.03173828125,7.49267578125,NP
37,9,75,DC,0.37,0.0341796875,7.491455078125,NP
38,9,75,DC,0.38,0.03173828125,7.491455078125,NP
39,9,75,DC,0.39,0.03173828125,7.49267578125,NP
40,9,75,DC,0.4,0.03173828125,7.491455078125,NP
41,9,75,DC,0.41000000000000003,0.030517578125,7.49267578125,NP
