,resistance,voltage,current,time,pre_rect,post_rect,labels
0,7,150,DC,0.0,-0.18798828125,7.31201171875,NP
1,7,150,DC,0.01,-0.184326171875,7.310791015625,NP
2,7,150,DC,0.02,-0.184326171875,7.3095703125,NP
3,7,150,DC,0.03,-0.189208984375,7.310791015625,NP
4,7,150,DC,0.04,-0.185546875,7.3095703125,NP
5,7,150,DC,0.05,-0.185546875,7.3095703125,NP
6,7,150,DC,0.06,-0.18798828125,7.310791015625,NP
7,7,150,DC,0.07,-0.184326171875,7.3095703125,NP
8,7,150,DC,0.08,-0.185546875,7.310791015625,NP
9,7,150,DC,0.09,-0.185546875,7.3095703125,NP
10,7,150,DC,0.1,-0.185546875,7.31201171875,NP
11,7,150,DC,0.11,-0.185546875,7.310791015625,NP
12,7,150,DC,0.12,-0.184326171875,7.310791015625,NP
13,7,150,DC,0.13,-0.18798828125,7.310791015625,NP
14,7,150,DC,0.14,-0.18798828125,7.310791015625,NP
15,7,150,DC,0.15,-0.184326171875,7.310791015625,NP
16,7,150,DC,0.16,-0.185546875,7.3095703125,NP
17,7,150,DC,0.17,-0.18798828125,7.31201171875,NP
18,7,150,DC,0.18,-0.186767578125,7.310791015625,NP
19,7,150,DC,0.19,-0.18798828125,7.31201171875,NP
20,7,150,DC,0.2,-0.186767578125,7.3095703125,NP
21,7,150,DC,0.21,-0.185546875,7.31201171875,NP
22,7,150,DC,0.22,-0.18798828125,7.310791015625,NP
23,7,150,DC,0.23,-0.185546875,7.31201171875,NP
24,7,150,DC,0.24,-0.184326171875,7.31201171875,NP
25,7,150,DC,0.25,-0.18798828125,7.310791015625,NP
26,7,150,DC,0.26,-0.185546875,7.310791015625,NP
27,7,150,DC,0.27,-0.184326171875,7.310791015625,NP
28,7,150,DC,0.28,-0.185546875,7.3095703125,NP
29,7,150,DC,0.29,-0.185546875,7.310791015625,NP
30,7,150,DC,0.3,-0.184326171875,7.31201171875,NP
31,7,150,DC,0.31,-0.186767578125,7.310791015625,NP
32,7,150,DC,0.32,-0.186767578125,7.31201171875,NP
33,7,150,DC,0.33,-0.186767578125,7.313232421875,NP
34,7,150,DC,0.34,-0.184326171875,7.313232421875,NP
35,7,150,DC,0.35000000000000003,-0.186767578125,7.31201171875,NP
36,7,150,DC,0.36,-0.184326171875,7.310791015625,NP
37,7,150,DC,0.37,-0.184326171875,7.310791015625,NP
38,7,150,DC,0.38,-0.186767578125,7.310791015625,NP
