,resistance,voltage,current,time,pre_rect,post_rect,labels
0,8,75,AC,0.0,-0.013427734375,7.618408203125,NP
1,8,75,AC,0.01,-0.01220703125,7.618408203125,NP
2,8,75,AC,0.02,-0.01220703125,7.61962890625,NP
3,8,75,AC,0.03,-0.01220703125,7.618408203125,NP
4,8,75,AC,0.04,-0.0146484375,7.618408203125,NP
5,8,75,AC,0.05,-0.013427734375,7.618408203125,NP
6,8,75,AC,0.06,-0.01220703125,7.61962890625,NP
7,8,75,AC,0.07,-0.010986328125,7.618408203125,NP
8,8,75,AC,0.08,-0.010986328125,7.618408203125,NP
9,8,75,AC,0.09,-0.013427734375,7.6171875,NP
10,8,75,AC,0.1,-0.01220703125,7.618408203125,NP
11,8,75,AC,0.11,-0.013427734375,7.618408203125,NP
12,8,75,AC,0.12,-0.013427734375,7.618408203125,NP
13,8,75,AC,0.13,-0.013427734375,7.618408203125,NP
14,8,75,AC,0.14,-0.01220703125,7.618408203125,NP
15,8,75,AC,0.15,-0.01220703125,7.618408203125,NP
16,8,75,AC,0.16,-0.010986328125,7.6171875,NP
17,8,75,AC,0.17,-0.010986328125,7.6171875,NP
18,8,75,AC,0.18,-0.0146484375,7.6171875,NP
19,8,75,AC,0.19,-0.013427734375,7.6171875,NP
20,8,75,AC,0.2,-0.013427734375,7.618408203125,NP
21,8,75,AC,0.21,-0.01220703125,7.6171875,NP
22,8,75,AC,0.22,-0.013427734375,7.618408203125,NP
23,8,75,AC,0.23,-0.01220703125,7.6171875,NP
24,8,75,AC,0.24,-0.0146484375,7.618408203125,NP
25,8,75,AC,0.25,-0.01220703125,7.6171875,NP
26,8,75,AC,0.26,-0.010986328125,7.6171875,NP
27,8,75,AC,0.27,-0.01220703125,7.6171875,NP
28,8,75,AC,0.28,-0.01220703125,7.618408203125,NP
29,8,75,AC,0.29,-0.01220703125,7.6171875,NP
30,8,75,AC,0.3,-0.009765625,7.618408203125,NP
31,8,75,AC,0.31,-0.013427734375,7.618408203125,NP
32,8,75,AC,0.32,-0.01220703125,7.6171875,NP
33,8,75,AC,0.33,-0.013427734375,7.6171875,NP
34,8,75,AC,0.34,-0.009765625,7.6171875,NP
35,8,75,AC,0.35000000000000003,-0.010986328125,7.6171875,NP
36,8,75,AC,0.36,-0.009765625,7.618408203125,NP
37,8,75,AC,0.37,-0.013427734375,7.615966796875,NP
38,8,75,AC,0.38,-0.013427734375,7.615966796875,NP
39,8,75,AC,0.39,-0.009765625,7.6171875,NP
40,8,75,AC,0.4,-0.013427734375,7.618408203125,NP
41,8,75,AC,0.41000000000000003,-0.01220703125,7.6171875,NP
42,8,75,AC,0.42,-0.010986328125,7.6171875,NP
43,8,75,AC,0.43,-0.01220703125,7.618408203125,NP
44,8,75,AC,0.44,-0.013427734375,7.61962890625,NP
45,8,75,AC,0.45,-0.01220703125,7.6171875,NP
46,8,75,AC,0.46,-0.01220703125,7.6171875,NP
47,8,75,AC,0.47000000000000003,-0.01220703125,7.618408203125,NP
48,8,75,AC,0.48,-0.0146484375,7.615966796875,NP
49,8,75,AC,0.49,-0.01220703125,7.6171875,NP
50,8,75,AC,0.5,-0.01220703125,7.61474609375,NP
51,8,75,AC,0.51,-0.010986328125,7.6171875,NP
52,8,75,AC,0.52,-0.010986328125,7.618408203125,NP
53,8,75,AC,0.53,-0.01220703125,7.6171875,NP
54,8,75,AC,0.54,-0.013427734375,7.615966796875,NP
55,8,75,AC,0.55,-0.013427734375,7.61474609375,NP
56,8,75,AC,0.56,-0.013427734375,7.6171875,NP
57,8,75,AC,0.5700000000000001,-0.010986328125,7.6171875,NP
