,resistance,voltage,current,time,pre_rect,post_rect,labels
0,9,75,AC,0.0,-0.010986328125,7.60986328125,NP
1,9,75,AC,0.01,-0.010986328125,7.606201171875,NP
2,9,75,AC,0.02,-0.013427734375,7.608642578125,NP
3,9,75,AC,0.03,-0.01220703125,7.607421875,NP
4,9,75,AC,0.04,-0.010986328125,7.607421875,NP
5,9,75,AC,0.05,-0.01220703125,7.607421875,NP
6,9,75,AC,0.06,-0.010986328125,7.608642578125,NP
7,9,75,AC,0.07,-0.01220703125,7.608642578125,NP
8,9,75,AC,0.08,-0.009765625,7.608642578125,NP
9,9,75,AC,0.09,-0.009765625,7.608642578125,NP
10,9,75,AC,0.1,-0.010986328125,7.60986328125,NP
11,9,75,AC,0.11,-0.010986328125,7.608642578125,NP
12,9,75,AC,0.12,-0.010986328125,7.60986328125,NP
13,9,75,AC,0.13,-0.013427734375,7.608642578125,NP
14,9,75,AC,0.14,-0.010986328125,7.60986328125,NP
15,9,75,AC,0.15,-0.009765625,7.608642578125,NP
16,9,75,AC,0.16,-0.010986328125,7.608642578125,NP
17,9,75,AC,0.17,-0.009765625,7.607421875,NP
18,9,75,AC,0.18,-0.009765625,7.607421875,NP
19,9,75,AC,0.19,-0.01220703125,7.607421875,NP
20,9,75,AC,0.2,-0.010986328125,7.607421875,NP
21,9,75,AC,0.21,-0.009765625,7.608642578125,NP
22,9,75,AC,0.22,-0.01220703125,7.608642578125,NP
23,9,75,AC,0.23,-0.01220703125,7.607421875,NP
24,9,75,AC,0.24,-0.010986328125,7.607421875,NP
25,9,75,AC,0.25,-0.013427734375,7.608642578125,NP
26,9,75,AC,0.26,-0.01220703125,7.607421875,NP
27,9,75,AC,0.27,-0.01220703125,7.607421875,NP
28,9,75,AC,0.28,-0.010986328125,7.607421875,NP
29,9,75,AC,0.29,-0.010986328125,7.608642578125,NP
30,9,75,AC,0.3,-0.010986328125,7.607421875,NP
31,9,75,AC,0.31,-0.01220703125,7.608642578125,NP
32,9,75,AC,0.32,-0.009765625,7.608642578125,NP
33,9,75,AC,0.33,-0.013427734375,7.607421875,NP
34,9,75,AC,0.34,-0.01220703125,7.608642578125,NP
35,9,75,AC,0.35000000000000003,-0.01220703125,7.608642578125,NP
36,9,75,AC,0.36,-0.013427734375,7.608642578125,NP
37,9,75,AC,0.37,-0.010986328125,7.608642578125,NP
38,9,75,AC,0.38,-0.01220703125,7.608642578125,NP
39,9,75,AC,0.39,-0.013427734375,7.607421875,NP
40,9,75,AC,0.4,-0.010986328125,7.607421875,NP
41,9,75,AC,0.41000000000000003,-0.01220703125,7.607421875,NP
42,9,75,AC,0.42,-0.01220703125,7.607421875,NP
43,9,75,AC,0.43,-0.009765625,7.608642578125,NP
44,9,75,AC,0.44,-0.010986328125,7.607421875,NP
45,9,75,AC,0.45,-0.01220703125,7.608642578125,NP
46,9,75,AC,0.46,-0.013427734375,7.607421875,NP
47,9,75,AC,0.47000000000000003,-0.01220703125,7.608642578125,NP
48,9,75,AC,0.48,-0.01220703125,7.607421875,NP
49,9,75,AC,0.49,-0.009765625,7.608642578125,NP
50,9,75,AC,0.5,-0.010986328125,7.608642578125,NP
51,9,75,AC,0.51,-0.010986328125,7.607421875,NP
52,9,75,AC,0.52,-0.010986328125,7.608642578125,NP
53,9,75,AC,0.53,-0.010986328125,7.608642578125,NP
54,9,75,AC,0.54,-0.010986328125,7.608642578125,NP
55,9,75,AC,0.55,-0.010986328125,7.608642578125,NP
56,9,75,AC,0.56,-0.010986328125,7.607421875,NP
57,9,75,AC,0.5700000000000001,-0.01220703125,7.607421875,NP
58,9,75,AC,0.58,-0.010986328125,7.608642578125,NP
59,9,75,AC,0.59,-0.010986328125,7.607421875,NP
60,9,75,AC,0.6,-0.010986328125,7.608642578125,NP
61,9,75,AC,0.61,-0.01220703125,7.60986328125,NP
62,9,75,AC,0.62,-0.010986328125,7.607421875,NP
63,9,75,AC,0.63,-0.010986328125,7.608642578125,NP
64,9,75,AC,0.64,-0.010986328125,7.608642578125,NP
65,9,75,AC,0.65,-0.01220703125,7.611083984375,NP
66,9,75,AC,0.66,-0.010986328125,7.608642578125,NP
67,9,75,AC,0.67,-0.01220703125,7.60986328125,NP
68,9,75,AC,0.68,-0.01220703125,7.608642578125,NP
69,9,75,AC,0.6900000000000001,-0.01220703125,7.607421875,NP
70,9,75,AC,0.7000000000000001,-0.01220703125,7.608642578125,NP
71,9,75,AC,0.71,-0.013427734375,7.60986328125,NP
72,9,75,AC,0.72,-0.009765625,7.608642578125,NP
73,9,75,AC,0.73,-0.010986328125,7.608642578125,NP
74,9,75,AC,0.74,-0.01220703125,7.608642578125,NP
75,9,75,AC,0.75,-0.010986328125,7.608642578125,NP
76,9,75,AC,0.76,-0.010986328125,7.60986328125,NP
77,9,75,AC,0.77,-0.013427734375,7.608642578125,NP
78,9,75,AC,0.78,-0.013427734375,7.607421875,NP
79,9,75,AC,0.79,-0.010986328125,7.608642578125,NP
80,9,75,AC,0.8,-0.01220703125,7.608642578125,NP
81,9,75,AC,0.81,-0.008544921875,7.60986328125,NP
82,9,75,AC,0.8200000000000001,-0.01220703125,7.608642578125,NP
83,9,75,AC,0.8300000000000001,-0.010986328125,7.607421875,NP
84,9,75,AC,0.84,-0.010986328125,7.608642578125,NP
85,9,75,AC,0.85,-0.013427734375,7.608642578125,NP
86,9,75,AC,0.86,-0.010986328125,7.60986328125,NP
87,9,75,AC,0.87,-0.010986328125,7.607421875,NP
88,9,75,AC,0.88,-0.010986328125,7.607421875,NP
89,9,75,AC,0.89,-0.01220703125,7.607421875,NP
90,9,75,AC,0.9,-0.013427734375,7.608642578125,NP
91,9,75,AC,0.91,-0.010986328125,7.608642578125,NP
92,9,75,AC,0.92,-0.010986328125,7.607421875,NP
93,9,75,AC,0.93,-0.010986328125,7.608642578125,NP
94,9,75,AC,0.9400000000000001,-0.01220703125,7.608642578125,NP
95,9,75,AC,0.9500000000000001,-0.01220703125,7.607421875,NP
96,9,75,AC,0.96,-0.01220703125,7.607421875,NP
97,9,75,AC,0.97,-0.009765625,7.608642578125,NP
98,9,75,AC,0.98,-0.013427734375,7.608642578125,NP
99,9,75,AC,0.99,-0.01220703125,7.608642578125,NP
100,9,75,AC,1.0,-0.013427734375,7.608642578125,NP
101,9,75,AC,1.01,-0.01220703125,7.608642578125,NP
102,9,75,AC,1.02,-0.01220703125,7.60986328125,NP
103,9,75,AC,1.03,-0.01220703125,7.608642578125,NP
104,9,75,AC,1.04,-0.01220703125,7.608642578125,NP
105,9,75,AC,1.05,-0.008544921875,7.608642578125,NP
106,9,75,AC,1.06,-0.01220703125,7.608642578125,NP
107,9,75,AC,1.07,-0.010986328125,7.608642578125,NP
108,9,75,AC,1.08,-0.010986328125,7.607421875,NP
109,9,75,AC,1.09,-0.010986328125,7.607421875,NP
110,9,75,AC,1.1,-0.010986328125,7.608642578125,NP
111,9,75,AC,1.11,-0.010986328125,7.608642578125,NP
112,9,75,AC,1.12,-0.01220703125,7.607421875,NP
113,9,75,AC,1.1300000000000001,-0.01220703125,7.607421875,NP
114,9,75,AC,1.1400000000000001,-0.01220703125,7.608642578125,NP
115,9,75,AC,1.1500000000000001,-0.0146484375,7.608642578125,NP
116,9,75,AC,1.16,-0.013427734375,7.608642578125,NP
117,9,75,AC,1.17,-0.010986328125,7.608642578125,NP
118,9,75,AC,1.18,-0.013427734375,7.607421875,NP
119,9,75,AC,1.19,-0.010986328125,7.608642578125,NP
120,9,75,AC,1.2,-0.01220703125,7.607421875,NP
121,9,75,AC,1.21,-0.01220703125,7.608642578125,NP
122,9,75,AC,1.22,-0.009765625,7.608642578125,NP
123,9,75,AC,1.23,-0.01220703125,7.607421875,NP
124,9,75,AC,1.24,-0.01220703125,7.607421875,NP
125,9,75,AC,1.25,-0.01220703125,7.606201171875,NP
126,9,75,AC,1.26,-0.010986328125,7.607421875,NP
127,9,75,AC,1.27,-0.010986328125,7.606201171875,NP
128,9,75,AC,1.28,-0.009765625,7.607421875,NP
129,9,75,AC,1.29,-0.010986328125,7.607421875,NP
130,9,75,AC,1.3,-0.01220703125,7.606201171875,NP
131,9,75,AC,1.31,-0.010986328125,7.607421875,NP
132,9,75,AC,1.32,-0.01220703125,7.60986328125,NP
133,9,75,AC,1.33,-0.01220703125,7.607421875,NP
134,9,75,AC,1.34,-0.01220703125,7.608642578125,NP
135,9,75,AC,1.35,-0.010986328125,7.608642578125,NP
136,9,75,AC,1.36,-0.010986328125,7.607421875,NP
137,9,75,AC,1.37,-0.009765625,7.60986328125,NP
138,9,75,AC,1.3800000000000001,-0.010986328125,7.608642578125,NP
139,9,75,AC,1.3900000000000001,-0.01220703125,7.608642578125,NP
140,9,75,AC,1.4000000000000001,-0.013427734375,7.607421875,NP
141,9,75,AC,1.41,-0.01220703125,7.60986328125,NP
142,9,75,AC,1.42,-0.010986328125,7.607421875,NP
143,9,75,AC,1.43,-0.009765625,7.607421875,NP
144,9,75,AC,1.44,-0.010986328125,7.607421875,NP
145,9,75,AC,1.45,-0.010986328125,7.607421875,NP
146,9,75,AC,1.46,-0.01220703125,7.608642578125,NP
147,9,75,AC,1.47,-0.010986328125,7.607421875,NP
148,9,75,AC,1.48,-0.009765625,7.608642578125,NP
149,9,75,AC,1.49,-0.01220703125,7.608642578125,NP
150,9,75,AC,1.5,-0.010986328125,7.608642578125,NP
