,resistance,voltage,current,time,pre_rect,post_rect,labels
0,8,75,AC,0.0,-0.086669921875,5.548095703125,NP
1,8,75,AC,0.01,-0.089111328125,5.55419921875,NP
2,8,75,AC,0.02,-0.108642578125,5.550537109375,NP
3,8,75,AC,0.03,-0.107421875,5.54931640625,NP
4,8,75,AC,0.04,-0.103759765625,5.54931640625,NP
5,8,75,AC,0.05,-0.101318359375,5.5517578125,NP
6,8,75,AC,0.06,-0.1123046875,5.54931640625,NP
7,8,75,AC,0.07,-0.11474609375,5.5419921875,NP
8,8,75,AC,0.08,-0.107421875,5.53955078125,NP
9,8,75,AC,0.09,-0.08544921875,5.543212890625,NP
10,8,75,AC,0.1,-0.089111328125,5.54931640625,NP
11,8,75,AC,0.11,-0.09765625,5.550537109375,NP
12,8,75,AC,0.12,-0.0732421875,5.556640625,NP
13,8,75,AC,0.13,-0.03173828125,5.577392578125,NP
14,8,75,AC,0.14,-0.0048828125,5.604248046875,NP
15,8,75,AC,0.15,-0.050048828125,5.61279296875,NP
16,8,75,AC,0.16,-0.107421875,5.594482421875,NP
17,8,75,AC,0.17,-0.13916015625,5.5615234375,NP
18,8,75,AC,0.18,-0.145263671875,5.535888671875,NP
19,8,75,AC,0.19,-0.155029296875,5.517578125,NP
20,8,75,AC,0.2,-0.123291015625,5.513916015625,NP
21,8,75,AC,0.21,-0.09033203125,5.531005859375,NP
22,8,75,AC,0.22,-0.06103515625,5.54931640625,NP
23,8,75,AC,0.23,-0.03173828125,5.57373046875,NP
24,8,75,AC,0.24,-0.025634765625,5.59814453125,NP
25,8,75,AC,0.25,-0.035400390625,5.60546875,NP
26,8,75,AC,0.26,-0.03173828125,5.60791015625,NP
27,8,75,AC,0.27,-0.03662109375,5.60791015625,NP
28,8,75,AC,0.28,0.064697265625,5.623779296875,NP
29,8,75,AC,0.29,0.506591796875,5.7568359375,NP
30,8,75,AC,0.3,0.419921875,5.926513671875,NP
31,8,75,AC,0.31,0.23681640625,5.93994140625,NP
32,8,75,AC,0.32,0.1025390625,5.885009765625,NP
33,8,75,AC,0.33,0.03662109375,5.810546875,NP
34,8,75,AC,0.34,0.01953125,5.75439453125,NP
35,8,75,AC,0.35000000000000003,0.0244140625,5.72021484375,NP
36,8,75,AC,0.36,0.028076171875,5.701904296875,NP
37,8,75,AC,0.37,0.025634765625,5.689697265625,NP
38,8,75,AC,0.38,0.023193359375,5.68115234375,NP
39,8,75,AC,0.39,0.03173828125,5.6787109375,NP
40,8,75,AC,0.4,0.0439453125,5.68359375,NP
41,8,75,AC,0.41000000000000003,0.0390625,5.687255859375,NP
42,8,75,AC,0.42,0.0341796875,5.6884765625,NP
43,8,75,AC,0.43,0.032958984375,5.68603515625,NP
44,8,75,AC,0.44,0.0341796875,5.68359375,NP
