insectno,waveform,dur,tbf
a01,Z,3388.48,3388.48
a01,P,11.52,3400
a01,Z,14.72,3414.72
a01,P,17.28,3432
a01,B2,4.48,3436.48
a01,P,1.28,3437.76
a01,Z,7.68,3445.44
a01,P,17.28,3462.72
a01,B2,5.12,3467.84
a01,P,28.16,3496
a01,B2,5.12,3501.12
a01,P,2.56,3503.68
a01,Z,3822.08,7325.76
a01,P,19.84,7345.6
a01,B2,2.56,7348.16
a01,P,23.68,7371.84
a01,B2,5.12,7376.96
a01,P,36.48,7413.44
a01,B2,4.48,7417.92
a01,P,26.24,7444.16
a01,B2,3.84,7448
a01,P,30.08,7478.08
a01,Z,7.68,7485.76
a01,P,14.72,7500.48
a01,B2,3.84,7504.32
a01,P,16,7520.32
a01,C,2.56,7522.88
a01,D,33.92,7556.8
a01,C,0.64,7557.44
a01,F2,1.28,7558.72
a01,B,2.56,7561.28
a01,C,3.2,7564.48
a01,D,67.2,7631.68
a01,F2,3.84,7635.52
a01,B,1.28,7636.8
a01,C,1.28,7638.08
a01,D,72.32,7710.4
a01,F2,1.47,7711.87
a01,B,1.95,7713.82
a01,C,2.46,7716.28
a01,D,41.48,7757.76
a01,F2,1.92,7759.68
a01,B,1.28,7760.96
a01,C,0.64,7761.6
a01,D,186.24,7947.84
a01,C,0.64,7948.48
a01,F2,1.92,7950.4
a01,B,0.64,7951.04
a01,C,0.64,7951.68
a01,D,55.04,8006.72
a01,B,1.28,8008
a01,C,0.64,8008.64
a01,D,25.6,8034.24
a01,C,0.64,8034.88
a01,F2,1.28,8036.16
a01,B,0.64,8036.8
a01,C,0.64,8037.44
a01,D,145.92,8183.36
a01,C,0.64,8184
a01,F2,1.06,8185.06
a01,B,1.5,8186.56
a01,C,0.64,8187.2
a01,D,30.72,8217.92
a01,F2,1.28,8219.2
a01,C,1.28,8220.48
a01,D,111.36,8331.84
a01,F2,1.28,8333.12
a01,C,0.64,8333.76
a01,D,105.6,8439.36
a01,F2,1.06,8440.42
a01,B,1.41,8441.83
a01,C,0.73,8442.56
a01,D,76.16,8518.72
a01,F2,1.92,8520.64
a01,C,0.64,8521.28
a01,D,600.96,9122.24
a01,F2,1.28,9123.52
a01,B,5.76,9129.28
a01,C,0.64,9129.92
a01,D,337.92,9467.84
a01,C,0.32,9468.16
a01,F2,2.56,9470.72
a01,B,1.64,9472.36
a01,C,0.64,9473
a01,D,139.52,9612.52
a01,B,6.4,9618.92
a01,C,1.28,9620.2
a01,D,167.04,9787.24
a01,B,1.92,9789.16
a01,Z,19.2,9808.36
a01,P,12.48,9820.84
a01,C,1.28,9822.12
a01,D,46.4,9868.52
a01,C,0.64,9869.16
a01,F2,1.45,9870.61
a01,B,5.01,9875.62
a01,C,3.78,9879.4
a01,D,133.76,10013.16
a01,C,0.64,10013.8
a01,F2,2.56,10016.36
a01,B,0.64,10017
a01,C,1.28,10018.28
a01,D,639.36,10657.64
a01,F2,3.2,10660.84
a01,B,2.56,10663.4
a01,C,1.28,10664.68
a01,D,621.92,11286.6
a01,C,0.28,11286.88
a01,F2,3.2,11290.08
a01,B,2.56,11292.64
a01,C,1.92,11294.56
a01,D,237.12,11531.68
a01,Z,220.16,11751.84
a01,P,48.64,11800.48
a01,Z,660,12460.48
a01,P,1.28,12461.76
a01,B,25.6,12487.36
a01,B2,3.84,12491.2
a01,Z,12.8,12504
a01,P,18.56,12522.56
a01,C,0.64,12523.2
a01,D,50.56,12573.76
a01,F2,1.92,12575.68
a01,B,2.56,12578.24
a01,C,1.28,12579.52
a01,D,59.03,12638.55
a01,F1,0.991,12639.541
a01,F2,1.769,12641.31
a01,B,5.41,12646.72
a01,C,0.64,12647.36
a01,D,24.32,12671.68
a01,C,0.64,12672.32
a01,D,49.92,12722.24
a01,F2,2.56,12724.8
a01,B,1.92,12726.72
a01,C,0.64,12727.36
a01,D,85.76,12813.12
a01,B,3.2,12816.32
a01,D,153.92,12970.24
a01,F2,1.92,12972.16
a01,B,1.28,12973.44
a01,C,0.64,12974.08
a01,D,300.64,13274.72
a01,C,0.64,13275.36
a01,F2,1.92,13277.28
a01,B,4.48,13281.76
a01,C,0.64,13282.4
a01,D,321.44,13603.84
a01,F2,2.56,13606.4
a01,B,4.48,13610.88
a01,F1,0.66,13611.54
a01,D,208.62,13820.16
a01,F2,0.05,13820.21
