,insectno,waveform,dur,tbf,labels,probes
0,a01,N,3388.48,3388.48,,
1,a01,P,11.52,3400.0,,
2,a01,Z,14.72,3414.72,,
3,a01,P,17.28,3432.0,,
4,a01,B2,4.48,3436.48,,
5,a01,P,1.28,3437.76,,
6,a01,Z,7.68,3445.44,,
7,a01,P,17.28,3462.72,,
8,a01,B2,5.12,3467.84,,
9,a01,P,28.16,3496.0,,
10,a01,B2,5.12,3501.12,,
11,a01,P,2.56,3503.68,,
12,a01,Z,3822.08,7325.76,,
13,a01,P,19.84,7345.6,,
14,a01,B2,2.56,7348.16,,
15,a01,P,23.68,7371.84,,
16,a01,B2,5.12,7376.96,,
17,a01,P,36.48,7413.44,,
18,a01,B2,4.48,7417.92,,
19,a01,P,26.24,7444.16,,
20,a01,B2,3.84,7448.0,,
21,a01,P,30.08,7478.08,,
22,a01,Z,7.68,7485.76,,
23,a01,P,14.72,7500.48,,
24,a01,B2,3.84,7504.32,,
25,a01,P,16.0,7520.32,,
26,a01,C,2.56,7522.88,,
27,a01,D,33.92,7556.8,,
28,a01,C,0.64,7557.44,,
29,a01,F2,1.28,7558.72,,
30,a01,B,2.56,7561.28,,
31,a01,C,3.2,7564.48,,
32,a01,D,67.2,7631.68,,
33,a01,F2,3.84,7635.52,,
34,a01,B,1.28,7636.8,,
35,a01,C,1.28,7638.08,,
36,a01,D,72.32,7710.4,,
37,a01,F2,1.47,7711.87,,
38,a01,B,1.95,7713.82,,
39,a01,C,2.46,7716.28,,
40,a01,D,41.48,7757.76,,
41,a01,F2,1.92,7759.68,,
42,a01,B,1.28,7760.96,,
43,a01,C,0.64,7761.6,,
44,a01,D,186.24,7947.84,,
45,a01,C,0.64,7948.48,,
46,a01,F2,1.92,7950.4,,
47,a01,B,0.64,7951.04,,
48,a01,C,0.64,7951.68,,
49,a01,D,55.04,8006.72,,
50,a01,B,1.28,8008.0,,
51,a01,C,0.64,8008.64,,
52,a01,D,25.6,8034.24,,
53,a01,C,0.64,8034.88,,
54,a01,F2,1.28,8036.16,,
55,a01,B,0.64,8036.8,,
56,a01,C,0.64,8037.44,,
57,a01,D,145.92,8183.36,,
58,a01,C,0.64,8184.0,,
59,a01,F2,1.06,8185.06,,
60,a01,B,1.5,8186.56,,
61,a01,C,0.64,8187.2,,
62,a01,D,30.72,8217.92,,
63,a01,F2,1.28,8219.2,,
64,a01,C,1.28,8220.48,,
65,a01,D,111.36,8331.84,,
66,a01,F2,1.28,8333.12,,
67,a01,C,0.64,8333.76,,
68,a01,D,105.6,8439.36,,
69,a01,F2,1.06,8440.42,,
70,a01,FB,1.41,8441.83,,
71,a01,C,0.73,8442.56,,
72,a01,D,76.16,8518.72,,
73,a01,F2,1.92,8520.64,,
74,a01,C,0.64,8521.28,,
75,a01,D,600.96,9122.24,,
76,a01,F2,1.28,9123.52,,
77,a01,B,5.76,9129.28,,
78,a01,C,0.64,9129.92,,
79,a01,D,337.92,9467.84,,
80,a01,C,0.32,9468.16,,
81,a01,F2,2.56,9470.72,,
82,a01,B,1.64,9472.36,,
83,a01,C,0.64,9473.0,,
84,a01,D,139.52,9612.52,,
85,a01,B,6.4,9618.92,,
86,a01,C,1.28,9620.2,,
87,a01,D,167.04,9787.24,,
88,a01,B,1.92,9789.16,,
89,a01,Z,19.2,9808.36,,
90,a01,P,12.48,9820.84,,
91,a01,C,1.28,9822.12,,
92,a01,D,46.4,9868.52,,
93,a01,C,0.64,9869.16,,
94,a01,F2,1.45,9870.61,,
95,a01,B,5.01,9875.62,,
96,a01,C,3.78,9879.4,,
97,a01,D,133.76,10013.16,,
98,a01,C,0.64,10013.8,,
99,a01,F2,2.56,10016.36,,
100,a01,B,0.64,10017.0,,
101,a01,C,1.28,10018.28,,
102,a01,D,639.36,10657.64,,
103,a01,F2,3.2,10660.84,,
104,a01,B,2.56,10663.4,,
105,a01,C,1.28,10664.68,,
106,a01,D,621.92,11286.6,,
107,a01,C,0.28,11286.88,,
108,a01,F2,3.2,11290.08,,
109,a01,B,2.56,11292.64,,
110,a01,C,1.92,11294.56,,
111,a01,D,237.12,11531.68,,
112,a01,Z,220.16,11751.84,,
113,a01,P,48.64,11800.48,,
114,a01,Z,660.0,12460.48,,
115,a01,P,1.28,12461.76,,
116,a01,B,25.6,12487.36,,
117,a01,B2,3.84,12491.2,,
118,a01,Z,12.8,12504.0,,
119,a01,P,18.56,12522.56,,
120,a01,C,0.64,12523.2,,
121,a01,D,50.56,12573.76,,
122,a01,F2,1.92,12575.68,,
123,a01,B,2.56,12578.24,,
124,a01,C,1.28,12579.52,,
125,a01,D,59.03,12638.55,,
