time,voltage
786205.0,0.262
786245.0,0.26
786255.0,0.266
786285.0,0.27
786295.0,0.269
786325.0,0.257
786335.0,0.268
786365.0,0.27
786375.0,0.268
786405.0,0.262
786415.0,0.276
786445.0,0.269
786455.0,0.268
786485.0,0.272
786495.0,0.268
786525.0,0.265
786535.0,0.273
786565.0,0.273
786575.0,0.272
786605.0,0.265
786615.0,0.276
786645.0,0.268
786655.0,0.274
786685.0,0.275
786695.0,0.271
786725.0,0.268
786735.0,0.275
786765.0,0.276
786775.0,0.268
786805.0,0.27
786815.0,0.271
786845.0,0.264
786855.0,0.273
786885.0,0.273
786895.0,0.268
786925.0,0.264
786935.0,0.273
786965.0,0.269
786975.0,0.269
787005.0,0.269
787015.0,0.271
787045.0,0.265
787055.0,0.271
787085.0,0.268
787095.0,0.269
787125.0,0.262
787135.0,0.27
787165.0,0.273
787175.0,0.263
787205.0,0.267
787215.0,0.273
787245.0,0.262
787325.0,0.251
787336.0,0.257
787365.0,0.257
787375.0,0.259
787405.0,0.26
787415.0,0.266
787445.0,0.259
787455.0,0.267
787485.0,0.261
787495.0,0.262
787525.0,0.257
787535.0,0.265
787565.0,0.266
787575.0,0.259
787605.0,0.265
787645.0,0.255
787655.0,0.262
787685.0,0.263
787695.0,0.26
787725.0,0.257
787805.0,0.243
787816.0,0.247
787845.0,0.244
787855.0,0.25
787885.0,0.254
787895.0,0.248
787925.0,0.249
787935.0,0.257
787965.0,0.251
787975.0,0.252
788005.0,0.251
788015.0,0.258
788045.0,0.25
788055.0,0.255
788085.0,0.256
788095.0,0.256
788125.0,0.257
788165.0,0.257
788176.0,0.246
788205.0,0.251
788215.0,0.26
788285.0,0.242
788295.0,0.239
788325.0,0.24
788335.0,0.252
788405.0,0.238
788415.0,0.243
788445.0,0.236
788455.0,0.245
788485.0,0.247
788495.0,0.246
788525.0,0.243
788535.0,0.252
788565.0,0.25
788575.0,0.244
788605.0,0.248
788615.0,0.253
788645.0,0.249
788655.0,0.254
788725.0,0.236
788735.0,0.249
788805.0,0.232
788815.0,0.24
788845.0,0.232
788856.0,0.241
788885.0,0.243
788895.0,0.239
788925.0,0.243
788935.0,0.251
788965.0,0.245
788975.0,0.249
789005.0,0.25
789015.0,0.251
789045.0,0.249
789055.0,0.254
789085.0,0.253
789095.0,0.254
789125.0,0.249
789135.0,0.266
789165.0,0.257
789175.0,0.257
789205.0,0.259
789215.0,0.262
789245.0,0.255
789255.0,0.261
789285.0,0.26
789295.0,0.262
789325.0,0.256
789335.0,0.267
789365.0,0.263
789375.0,0.26
789405.0,0.265
789415.0,0.266
789445.0,0.257
789455.0,0.265
789485.0,0.269
789495.0,0.26
789525.0,0.261
789535.0,0.271
789565.0,0.264
789575.0,0.263
789605.0,0.263
789645.0,0.251
789655.0,0.262
789685.0,0.261
789695.0,0.26
789725.0,0.256
789735.0,0.264
789765.0,0.263
789775.0,0.257
789805.0,0.263
789845.0,0.251
789855.0,0.262
789885.0,0.259
789895.0,0.257
789925.0,0.255
789935.0,0.265
789965.0,0.26
789975.0,0.261
790005.0,0.262
790015.0,0.266
790045.0,0.249
790055.0,0.269
790085.0,0.264
790095.0,0.263
790125.0,0.26
790135.0,0.265
790165.0,0.263
790205.0,0.261
790245.0,0.248
790256.0,0.259
790285.0,0.256
790295.0,0.253
790325.0,0.251
790335.0,0.262
790365.0,0.257
790375.0,0.257
790445.0,0.243
790455.0,0.253
790485.0,0.255
790495.0,0.249
790525.0,0.25
790535.0,0.259
790565.0,0.256
790575.0,0.251
790605.0,0.259
790645.0,0.248
790656.0,0.253
790685.0,0.257
790695.0,0.247
790725.0,0.248
790735.0,0.262
790765.0,0.254
790775.0,0.257
790805.0,0.257
790845.0,0.247
790855.0,0.256
790885.0,0.256
790895.0,0.253
790925.0,0.251
790935.0,0.26
790965.0,0.253
790975.0,0.257
791005.0,0.256
791015.0,0.258
791045.0,0.256
791055.0,0.262
791125.0,0.246
791135.0,0.254
791165.0,0.25
791175.0,0.251
791205.0,0.26
791285.0,0.24
791295.0,0.238
791325.0,0.237
791335.0,0.245
791365.0,0.243
791375.0,0.245
791405.0,0.25
791416.0,0.248
791445.0,0.241
791455.0,0.257
791485.0,0.251
791495.0,0.254
791525.0,0.251
791535.0,0.259
791565.0,0.257
791575.0,0.254
791645.0,0.24
791655.0,0.252
791685.0,0.251
791695.0,0.249
791725.0,0.251
791735.0,0.254
791805.0,0.243
791815.0,0.243
791845.0,0.24
791856.0,0.251
791885.0,0.251
791895.0,0.246
791925.0,0.251
791935.0,0.258
791965.0,0.25
791975.0,0.256
792005.0,0.257
792015.0,0.257
792045.0,0.251
792056.0,0.258
792085.0,0.259
